"term","count.2013","pct.2013","count.2017","pct.2017","difference","ratio"
"sponsorship",118,0.00306628901073201,48,0.018860510805501,0.015794221794769,6.15092404515334
"entitle",106,0.00275446300964062,43,0.0168958742632613,0.0141414112536207,6.13399933276495
"ax",1829,0.0475274796663462,739,0.290373280943026,0.242845801276679,6.10958719001118
"barrier",40,0.00103942000363797,16,0.00628683693516699,0.00524741693152902,6.04840864440079
"bed",61,0.0015851155055479,24,0.00943025540275049,0.00784513989720259,5.94925440432864
"indeed",28,0.000727594002546579,11,0.00432220039292731,0.00359460639038073,5.94040134717934
"fair",46,0.00119533300418367,18,0.00707269155206287,0.0058773585478792,5.91692149995729
"apprenticeship",278,0.00722396902528389,108,0.0424361493123772,0.0352121802870933,5.87435371938206
"invite",124,0.00322220201127771,48,0.018860510805501,0.0156383087942233,5.85329868812979
"kyc",44,0.00114336200400177,17,0.00667976424361493,0.00553640223961316,5.84221289515985
"christmas",55,0.00142920250500221,21,0.00825147347740668,0.00682227097240447,5.7734809787462
"middot",76,0.00197489800691214,29,0.0113948919449902,0.00941999393807803,5.76986350946128
"ultimate",50,0.00129927500454746,19,0.00746561886051081,0.00616634385596334,5.74598821218075
"cook",29,0.000753579502637528,11,0.00432220039292731,0.00356862089028978,5.73555992141454
"wage",37,0.000961463503365122,14,0.00550098231827112,0.004539518814906,5.72146763659534
"gcse",114,0.00296234701036821,43,0.0168958742632613,0.0139335272528931,5.70354323923758
"promotional",80,0.00207884000727594,30,0.0117878192534381,0.00970897924616217,5.67038310412574
"hope",32,0.000831536002910376,12,0.00471512770137525,0.00388359169846487,5.67038310412574
"jenkins",203,0.0052750565184627,76,0.0298624754420432,0.0245874189235805,5.66107213022734
"agresso",67,0.0017410285060936,25,0.00982318271119843,0.00808215420510483,5.64217224291118
"parent",67,0.0017410285060936,25,0.00982318271119843,0.00808215420510483,5.64217224291118
"ph",67,0.0017410285060936,25,0.00982318271119843,0.00808215420510483,5.64217224291118
"fruit",51,0.00132526050463841,19,0.00746561886051081,0.00614035835587239,5.63332177664779
"eat",43,0.00111737650391082,16,0.00628683693516699,0.00516946043125618,5.62642664595422
"pregnancy",38,0.000987449003456071,14,0.00550098231827112,0.00451353331481505,5.5709026987902
"nigel",638,0.0165787490580256,235,0.0923379174852652,0.0757591684272396,5.5696552955885
"frank",722,0.0187615310656654,265,0.104125736738703,0.085364205673038,5.54995945556166
"spain",52,0.00135124600472936,19,0.00746561886051081,0.00611437285578144,5.52498866555841
"li",39,0.00101343450354702,14,0.00550098231827112,0.0044875478147241,5.42805903984686
"wednesday",42,0.00109139100381987,15,0.00589390962671906,0.00480251862289919,5.40036486107213
"baye",31,0.000805550502819427,11,0.00432220039292731,0.00351664989010788,5.36552379745231
"amazon",300,0.00779565002728478,105,0.0412573673870334,0.0334617173597486,5.29235756385069
"wright",40,0.00103942000363797,14,0.00550098231827112,0.00446156231463315,5.29235756385069
"bluetooth",43,0.00111737650391082,15,0.00589390962671906,0.00477653312280824,5.27477498058208
"smart",493,0.012810851544838,170,0.0667976424361493,0.0539867908913113,5.21414538310413
"breakfast",44,0.00114336200400177,15,0.00589390962671906,0.00475054762271729,5.1548937310234
"sop",47,0.00122131850427461,16,0.00628683693516699,0.00506551843089238,5.14758182502194
"childcare",394,0.010238287035834,134,0.0526522593320236,0.0424139722961896,5.14268247683823
"category",145,0.00376789751318764,49,0.0192534381139489,0.0154855406007613,5.10986247544204
"journey",242,0.00628849102200972,81,0.0318271119842829,0.0255386209622732,5.06116839045934
"mason",48,0.00124730400436556,16,0.00628683693516699,0.00503953293080143,5.04034053700066
"optic",36,0.000935478003274173,12,0.00471512770137525,0.00377964969810107,5.04034053700066
